Detector Type, Descriptor Type, Image Number, Detector Elapsed Time[ms], Descriptor Elasped Time [ms], Keypoints (#), TTC Camera [s], TTC LiDAR [s], |TCC Camera - TTC LiDAR| [s], Mean(|TCC Camera - TTC LiDAR|) [s]
HARRIS, BRIEF, 8, 10.5237, 1.25937, 186, 13.5704, 12.7262, 0.844246
HARRIS, BRIEF, 9, 8.62586, 0.82431, 127, 3.30058, 12.9003, 9.59971
HARRIS, BRIEF, 10, 8.76681, 1.34396, 238, 20.5862, 12.4271, 8.15916
HARRIS, BRIEF, 11, 9.91248, 0.77825, 144, 11.2142, 11.9444, 0.730185
HARRIS, BRIEF, 12, 9.64558, 1.11345, 161, 12.245, 10.2754, 1.96956
HARRIS, BRIEF, 13, 9.22258, 1.08865, 179, 284.161, 9.24364, 274.917
HARRIS, BRIEF, 14, 9.2785, 0.953168, 142, 5.66097, 9.27054, 3.60957
HARRIS, BRIEF, 15, 9.53852, 1.31476, 233, -12.4873, 8.40269, 20.89
HARRIS, BRIEF, 16, 9.3944, 1.19577, 202, 6.98094, 9.14267, 2.16173
HARRIS, BRIEF, 17, 9.07278, 1.21172, 120, 12.5848, 12.2499, 0.334921
HARRIS, BRIEF, 18, 9.06584, 1.01023, 151, 12.8381, 7.80588, 5.03225, 24.1664

HARRIS, ORB, 0, 9.55444, 4.46944, 112, , ,
HARRIS, ORB, 1, 9.43796, 3.88169, 202, 9.74953, 12.8862, 3.13665
HARRIS, ORB, 2, 9.53463, 4.11738, 111, 52.7952, 13.1128, 39.6824
HARRIS, ORB, 3, 8.37169, 4.74451, 171, -80.8525, 17.5264, 98.3789
HARRIS, ORB, 4, 9.11458, 5.20585, 238, 10.9782, 17.1846, 6.20635
HARRIS, ORB, 5, 8.87062, 4.13676, 224, 13.2718, 12.9345, 0.337306
HARRIS, ORB, 6, 11.0407, 4.71585, 241, 14.1981, 13.0189, 1.1792
HARRIS, ORB, 7, 9.89232, 4.51009, 257, 15.8978, 11.4193, 4.47856
HARRIS, ORB, 8, 10.6539, 4.75029, 185, 13.5704, 12.7262, 0.844246
HARRIS, ORB, 9, 11.7172, 4.23679, 127, 3.30058, 12.9003, 9.59971
HARRIS, ORB, 10, 8.81978, 3.67846, 238, 20.5862, 12.4271, 8.15916
HARRIS, ORB, 11, 8.79012, 4.02981, 143, 11.7414, 11.9444, 0.202977
HARRIS, ORB, 12, 9.10382, 4.45572, 161, 12.245, 10.2754, 1.96956
HARRIS, ORB, 13, 9.37268, 4.16237, 178, 568.322, 9.24364, 559.079
HARRIS, ORB, 14, 9.3965, 4.09171, 141, 5.66097, 9.27054, 3.60957
HARRIS, ORB, 15, 9.88983, 4.32147, 228, -12.639, 8.40269, 21.0417
HARRIS, ORB, 16, 9.59735, 4.2736, 201, 6.6376, 9.14267, 2.50507
HARRIS, ORB, 17, 9.47649, 4.21973, 120, 12.7384, 12.2499, 0.488508
HARRIS, ORB, 18, 10.7369, 3.95031, 150, -inf, 7.80588, inf, inf

HARRIS, FREAK, 0, 8.97364, 28.3568, 113, , ,
HARRIS, FREAK, 1, 8.4401, 28.2516, 203, nan, 12.8862, nan
HARRIS, FREAK, 2, 9.71264, 29.991, 113, 11.0081, 13.1128, 2.10461
HARRIS, FREAK, 3, 8.88388, 29.1614, 173, -10.295, 17.5264, 27.8214
HARRIS, FREAK, 4, 9.99803, 31.0455, 241, 10.9782, 17.1846, 6.20635
HARRIS, FREAK, 5, 9.91736, 31.0719, 228, 44.9166, 12.9345, 31.9821
HARRIS, FREAK, 6, 9.58852, 30.1719, 247, 13.9039, 13.0189, 0.885025
